TEAM	MATCH UP	GAME DATE	W/L	PTS	+/-
NOP	NOP @ TOR	10/22/2019	L	122	-8
TOR	TOR vs. NOP	10/22/2019	W	130	8
LAL	LAL @ LAC	10/22/2019	L	102	-10
LAC	LAC vs. LAL	10/22/2019	W	112	10
CHA	CHA vs. CHI	10/23/2019	W	126	1
CHI	CHI @ CHA	10/23/2019	L	125	-1
WAS	WAS @ DAL	10/23/2019	L	100	-8
DAL	DAL vs. WAS	10/23/2019	W	108	8
DET	DET @ IND	10/23/2019	W	119	9
IND	IND vs. DET	10/23/2019	L	110	-9
UTA	UTA vs. OKC	10/23/2019	W	100	5
OKC	OKC @ UTA	10/23/2019	L	95	-5
DEN	DEN @ POR	10/23/2019	W	108	8
POR	POR vs. DEN	10/23/2019	L	100	-8
MIA	MIA vs. MEM	10/23/2019	W	120	19
MEM	MEM @ MIA	10/23/2019	L	101	-19
CLE	CLE @ ORL	10/23/2019	L	85	-9
ORL	ORL vs. CLE	10/23/2019	W	94	9
BKN	BKN vs. MIN	10/23/2019	L	126	-1
MIN	MIN @ BKN	10/23/2019	W	127	1
PHX	PHX vs. SAC	10/23/2019	W	124	29
SAC	SAC @ PHX	10/23/2019	L	95	-29
SAS	SAS vs. NYK	10/23/2019	W	120	9
NYK	NYK @ SAS	10/23/2019	L	111	-9
PHI	PHI vs. BOS	10/23/2019	W	107	14
BOS	BOS @ PHI	10/23/2019	L	93	-14
ATL	ATL @ DET	10/24/2019	W	117	17
DET	DET vs. ATL	10/24/2019	L	100	-17
MIL	MIL @ HOU	10/24/2019	W	117	6
HOU	HOU vs. MIL	10/24/2019	L	111	-6
GSW	GSW vs. LAC	10/24/2019	L	122	-19
LAC	LAC @ GSW	10/24/2019	W	141	19
DAL	DAL @ NOP	10/25/2019	W	123	7
NOP	NOP vs. DAL	10/25/2019	L	116	-7
MEM	MEM vs. CHI	10/25/2019	L	102	-8
CHI	CHI @ MEM	10/25/2019	W	110	8
OKC	OKC vs. WAS	10/25/2019	L	85	-12
WAS	WAS @ OKC	10/25/2019	W	97	12
MIN	MIN @ CHA	10/25/2019	W	121	22
CHA	CHA vs. MIN	10/25/2019	L	99	-22
SAC	SAC vs. POR	10/25/2019	L	112	-10
POR	POR @ SAC	10/25/2019	W	122	10
PHX	PHX @ DEN	10/25/2019	L	107	-1
DEN	DEN vs. PHX	10/25/2019	W	108	1
BOS	BOS vs. TOR	10/25/2019	W	112	6
TOR	TOR @ BOS	10/25/2019	L	106	-6
NYK	NYK @ BKN	10/25/2019	L	109	-4
BKN	BKN vs. NYK	10/25/2019	W	113	4
LAL	LAL vs. UTA	10/25/2019	W	95	9
UTA	UTA @ LAL	10/25/2019	L	86	-9
ORL	ORL @ ATL	10/26/2019	L	99	-4
ATL	ATL vs. ORL	10/26/2019	W	103	4
MIA	MIA @ MIL	10/26/2019	W	131	5
MIL	MIL vs. MIA	10/26/2019	L	126	-5
UTA	UTA vs. SAC	10/26/2019	W	113	32
SAC	SAC @ UTA	10/26/2019	L	81	-32
DET	DET vs. PHI	10/26/2019	L	111	-6
PHI	PHI @ DET	10/26/2019	W	117	6
HOU	HOU vs. NOP	10/26/2019	W	126	3
NOP	NOP @ HOU	10/26/2019	L	123	-3
CLE	CLE vs. IND	10/26/2019	W	110	11
IND	IND @ CLE	10/26/2019	L	99	-11
PHX	PHX vs. LAC	10/26/2019	W	130	8
LAC	LAC @ PHX	10/26/2019	L	122	-8
NYK	NYK vs. BOS	10/26/2019	L	95	-23
BOS	BOS @ NYK	10/26/2019	W	118	23
TOR	TOR @ CHI	10/26/2019	W	108	24
CHI	CHI vs. TOR	10/26/2019	L	84	-24
WAS	WAS @ SAS	10/26/2019	L	122	-2
SAS	SAS vs. WAS	10/26/2019	W	124	2
OKC	OKC vs. GSW	10/27/2019	W	120	28
GSW	GSW @ OKC	10/27/2019	L	92	-28
MEM	MEM vs. BKN	10/27/2019	W	134	1
BKN	BKN @ MEM	10/27/2019	L	133	-1
MIA	MIA @ MIN	10/27/2019	L	109	-7
MIN	MIN vs. MIA	10/27/2019	W	116	7
POR	POR @ DAL	10/27/2019	W	121	2
DAL	DAL vs. POR	10/27/2019	L	119	-2
LAL	LAL vs. CHA	10/27/2019	W	120	19
CHA	CHA @ LAL	10/27/2019	L	101	-19
GSW	GSW @ NOP	10/28/2019	W	134	11
NOP	NOP vs. GSW	10/28/2019	L	123	-11
ORL	ORL @ TOR	10/28/2019	L	95	-9
TOR	TOR vs. ORL	10/28/2019	W	104	9
DEN	DEN @ SAC	10/28/2019	W	101	7
SAC	SAC vs. DEN	10/28/2019	L	94	-7
PHI	PHI @ ATL	10/28/2019	W	105	2
ATL	ATL vs. PHI	10/28/2019	L	103	-2
CLE	CLE @ MIL	10/28/2019	L	112	-17
MIL	MIL vs. CLE	10/28/2019	W	129	17
IND	IND @ DET	10/28/2019	L	94	-2
DET	DET vs. IND	10/28/2019	W	96	2
HOU	HOU vs. OKC	10/28/2019	W	116	4
OKC	OKC @ HOU	10/28/2019	L	112	-4
LAC	LAC vs. CHA	10/28/2019	W	111	15
CHA	CHA @ LAC	10/28/2019	L	96	-15
UTA	UTA @ PHX	10/28/2019	W	96	1
PHX	PHX vs. UTA	10/28/2019	L	95	-1
NYK	NYK vs. CHI	10/28/2019	W	105	7
CHI	CHI @ NYK	10/28/2019	L	98	-7
SAS	SAS vs. POR	10/28/2019	W	113	3
POR	POR @ SAS	10/28/2019	L	110	-3
DAL	DAL @ DEN	10/29/2019	W	109	3
DEN	DEN vs. DAL	10/29/2019	L	106	-3
ATL	ATL @ MIA	10/29/2019	L	97	-15
MIA	MIA vs. ATL	10/29/2019	W	112	15
MEM	MEM @ LAL	10/29/2019	L	91	-29
LAL	LAL vs. MEM	10/29/2019	W	120	29
OKC	OKC vs. POR	10/30/2019	L	99	-3
POR	POR @ OKC	10/30/2019	W	102	3
HOU	HOU @ WAS	10/30/2019	W	159	1
WAS	WAS vs. HOU	10/30/2019	L	158	-1
DET	DET @ TOR	10/30/2019	L	113	-12
TOR	TOR vs. DET	10/30/2019	W	125	12
SAC	SAC vs. CHA	10/30/2019	L	111	-7
CHA	CHA @ SAC	10/30/2019	W	118	7
LAC	LAC @ UTA	10/30/2019	L	96	-14
UTA	UTA vs. LAC	10/30/2019	W	110	14
ORL	ORL vs. NYK	10/30/2019	W	95	12
NYK	NYK @ ORL	10/30/2019	L	83	-12
CLE	CLE vs. CHI	10/30/2019	W	117	6
CHI	CHI @ CLE	10/30/2019	L	111	-6
BKN	BKN vs. IND	10/30/2019	L	108	-10
IND	IND @ BKN	10/30/2019	W	118	10
BOS	BOS vs. MIL	10/30/2019	W	116	11
MIL	MIL @ BOS	10/30/2019	L	105	-11
PHX	PHX @ GSW	10/30/2019	W	121	11
GSW	GSW vs. PHX	10/30/2019	L	110	-11
PHI	PHI vs. MIN	10/30/2019	W	117	22
MIN	MIN @ PHI	10/30/2019	L	95	-22
DEN	DEN @ NOP	10/31/2019	L	107	-15
NOP	NOP vs. DEN	10/31/2019	W	122	15
ATL	ATL vs. MIA	10/31/2019	L	97	-9
MIA	MIA @ ATL	10/31/2019	W	106	9
SAS	SAS @ LAC	10/31/2019	L	97	-6
LAC	LAC vs. SAS	10/31/2019	W	103	6
UTA	UTA @ SAC	11/01/2019	L	101	-1
SAC	SAC vs. UTA	11/01/2019	W	102	1
DAL	DAL vs. LAL	11/01/2019	L	110	-9
LAL	LAL @ DAL	11/01/2019	W	119	9
IND	IND vs. CLE	11/01/2019	W	102	7
CLE	CLE @ IND	11/01/2019	L	95	-7
ORL	ORL vs. MIL	11/01/2019	L	91	-32
MIL	MIL @ ORL	11/01/2019	W	123	32
NYK	NYK @ BOS	11/01/2019	L	102	-2
BOS	BOS vs. NYK	11/01/2019	W	104	2
BKN	BKN vs. HOU	11/01/2019	W	123	7
HOU	HOU @ BKN	11/01/2019	L	116	-7
DET	DET @ CHI	11/01/2019	L	106	-6
CHI	CHI vs. DET	11/01/2019	W	112	6
SAS	SAS @ GSW	11/01/2019	W	127	17
GSW	GSW vs. SAS	11/01/2019	L	110	-17
MEM	MEM vs. PHX	11/02/2019	L	105	-9
PHX	PHX @ MEM	11/02/2019	W	114	9
NOP	NOP @ OKC	11/02/2019	L	104	-11
OKC	OKC vs. NOP	11/02/2019	W	115	11
WAS	WAS vs. MIN	11/02/2019	L	109	-22
MIN	MIN @ WAS	11/02/2019	W	131	22
MIL	MIL vs. TOR	11/02/2019	W	115	10
TOR	TOR @ MIL	11/02/2019	L	105	-10
PHI	PHI @ POR	11/02/2019	W	129	1
POR	POR vs. PHI	11/02/2019	L	128	-1
DET	DET vs. BKN	11/02/2019	W	113	4
BKN	BKN @ DET	11/02/2019	L	109	-4
ORL	ORL vs. DEN	11/02/2019	L	87	-4
DEN	DEN @ ORL	11/02/2019	W	91	4
GSW	GSW vs. CHA	11/02/2019	L	87	-6
CHA	CHA @ GSW	11/02/2019	W	93	6
CHI	CHI @ IND	11/03/2019	L	95	-13
IND	IND vs. CHI	11/03/2019	W	108	13
HOU	HOU @ MIA	11/03/2019	L	100	-29
MIA	MIA vs. HOU	11/03/2019	W	129	29
LAC	LAC vs. UTA	11/03/2019	W	105	11
UTA	UTA @ LAC	11/03/2019	L	94	-11
DAL	DAL @ CLE	11/03/2019	W	131	20
CLE	CLE vs. DAL	11/03/2019	L	111	-20
NYK	NYK vs. SAC	11/03/2019	L	92	-21
SAC	SAC @ NYK	11/03/2019	W	113	21
LAL	LAL @ SAS	11/03/2019	W	103	7
SAS	SAS vs. LAL	11/03/2019	L	96	-7
MEM	MEM vs. HOU	11/04/2019	L	100	-7
HOU	HOU @ MEM	11/04/2019	W	107	7
DET	DET @ WAS	11/04/2019	L	99	-16
WAS	WAS vs. DET	11/04/2019	W	115	16
MIL	MIL @ MIN	11/04/2019	W	134	28
MIN	MIN vs. MIL	11/04/2019	L	106	-28
BKN	BKN vs. NOP	11/04/2019	W	135	10
NOP	NOP @ BKN	11/04/2019	L	125	-10
PHI	PHI @ PHX	11/04/2019	L	109	-5
PHX	PHX vs. PHI	11/04/2019	W	114	5
GSW	GSW vs. POR	11/04/2019	W	127	9
POR	POR @ GSW	11/04/2019	L	118	-9
OKC	OKC vs. ORL	11/05/2019	W	102	8
ORL	ORL @ OKC	11/05/2019	L	94	-8
CHA	CHA vs. IND	11/05/2019	W	122	2
IND	IND @ CHA	11/05/2019	L	120	-2
DEN	DEN vs. MIA	11/05/2019	W	109	20
MIA	MIA @ DEN	11/05/2019	L	89	-20
SAS	SAS @ ATL	11/05/2019	L	100	-8
ATL	ATL vs. SAS	11/05/2019	W	108	8
CLE	CLE vs. BOS	11/05/2019	L	113	-6
BOS	BOS @ CLE	11/05/2019	W	119	6
LAL	LAL @ CHI	11/05/2019	W	118	6
CHI	CHI vs. LAL	11/05/2019	L	112	-6
MIN	MIN @ MEM	11/06/2019	L	121	-16
MEM	MEM vs. MIN	11/06/2019	W	137	16
TOR	TOR vs. SAC	11/06/2019	W	124	4
