PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	3PM	3PA	FTM	FTA	REB	AST	STL	BLK	+/-
Tony Bradley	UTA	UTA @ LAC	11/03/2019	L	14	8	3	5	0	0	2	3	5	0	0	2	-14
Joe Ingles	UTA	UTA @ LAC	11/03/2019	L	28	9	3	9	3	9	0	0	5	2	1	1	-12
JaMychal Green	LAC	LAC vs. UTA	11/03/2019	W	24	12	3	7	2	5	4	4	6	1	0	1	30
Royce O'Neale	UTA	UTA @ LAC	11/03/2019	L	34	0	0	4	0	2	0	0	4	2	0	1	-11
Lou Williams	LAC	LAC vs. UTA	11/03/2019	W	32	17	6	18	1	4	4	6	5	3	0	0	11
Jeff Green	UTA	UTA @ LAC	11/03/2019	L	19	2	1	4	0	3	0	0	1	0	0	1	-26
Montrezl Harrell	LAC	LAC vs. UTA	11/03/2019	W	30	19	7	10	0	0	5	8	8	2	0	1	24
Kawhi Leonard	LAC	LAC vs. UTA	11/03/2019	W	34	30	9	26	2	8	10	12	6	3	3	1	16
Tristan Thompson	CLE	CLE vs. DAL	11/03/2019	L	31	11	4	10	0	0	3	9	12	4	2	1	-8
Brandon Knight	CLE	CLE vs. DAL	11/03/2019	L	20	10	3	8	3	7	1	2	1	6	1	0	-6
Jordan Clarkson	CLE	CLE vs. DAL	11/03/2019	L	22	17	6	11	5	10	0	0	1	1	1	1	-1
Cedi Osman	CLE	CLE vs. DAL	11/03/2019	L	28	10	4	11	2	6	0	0	4	1	0	1	-1
Alfonzo McKinnie	CLE	CLE vs. DAL	11/03/2019	L	3	0	0	0	0	0	0	0	1	0	0	0	-4
Tyler Cook	CLE	CLE vs. DAL	11/03/2019	L	3	2	1	1	0	0	0	0	2	0	0	0	-4
Dorian Finney-Smith	DAL	DAL @ CLE	11/03/2019	W	23	10	4	7	1	3	1	1	5	0	0	0	9
Ryan Broekhoff	DAL	DAL @ CLE	11/03/2019	W	2	3	1	1	1	1	0	0	0	1	0	0	6
Kevin Porter Jr.	CLE	CLE vs. DAL	11/03/2019	L	20	8	3	8	1	3	1	1	1	2	0	0	-19
Darius Garland	CLE	CLE vs. DAL	11/03/2019	L	26	9	3	8	1	4	2	2	1	5	2	0	-11
Collin Sexton	CLE	CLE vs. DAL	11/03/2019	L	25	10	4	14	0	4	2	2	6	2	1	0	-18
Jalen Brunson	DAL	DAL @ CLE	11/03/2019	W	30	14	6	11	2	6	0	0	2	6	0	0	7
Boban Marjanovic	DAL	DAL @ CLE	11/03/2019	W	15	12	6	11	0	0	0	1	8	0	0	0	25
Larry Nance Jr.	CLE	CLE vs. DAL	11/03/2019	L	27	5	2	7	1	3	0	0	4	1	1	0	-33
Delon Wright	DAL	DAL @ CLE	11/03/2019	W	28	8	3	5	1	1	1	1	4	6	2	0	15
Kristaps Porzingis	DAL	DAL @ CLE	11/03/2019	W	31	18	7	14	4	6	0	0	9	0	1	6	1
Tim Hardaway Jr.	DAL	DAL @ CLE	11/03/2019	W	22	12	5	12	2	6	0	0	3	2	0	0	16
Kevin Love	CLE	CLE vs. DAL	11/03/2019	L	35	29	9	18	5	11	6	6	8	2	1	1	5
Luka Doncic	DAL	DAL @ CLE	11/03/2019	W	34	29	9	17	5	10	6	6	14	15	0	0	15
Justin Jackson	DAL	DAL @ CLE	11/03/2019	W	6	3	1	2	1	2	0	0	1	0	1	0	-1
Dwight Powell	DAL	DAL @ CLE	11/03/2019	W	27	9	4	7	0	1	1	2	4	0	1	0	1
Seth Curry	DAL	DAL @ CLE	11/03/2019	W	22	13	4	7	3	5	2	2	1	4	0	0	6
Wayne Ellington	NYK	NYK vs. SAC	11/03/2019	L	25	3	1	4	1	4	0	0	1	1	1	0	-3
Nemanja Bjelica	SAC	SAC @ NYK	11/03/2019	W	24	10	4	5	2	3	0	0	9	6	1	0	21
Kevin Knox II	NYK	NYK vs. SAC	11/03/2019	L	21	2	0	4	0	3	2	6	3	1	1	0	-3
Allonzo Trier	NYK	NYK vs. SAC	11/03/2019	L	24	11	3	9	2	5	3	4	4	4	0	1	-6
Trevor Ariza	SAC	SAC @ NYK	11/03/2019	W	25	8	3	8	2	6	0	0	5	0	0	0	4
Wenyen Gabriel	SAC	SAC @ NYK	11/03/2019	W	6	0	0	1	0	0	0	2	1	0	0	0	-7
Mitchell Robinson	NYK	NYK vs. SAC	11/03/2019	L	25	10	4	4	0	0	2	3	5	0	1	2	5
Marcus Morris Sr.	NYK	NYK vs. SAC	11/03/2019	L	35	28	9	14	4	6	6	7	6	2	0	1	-11
RJ Barrett	NYK	NYK vs. SAC	11/03/2019	L	41	22	8	20	1	5	5	9	4	3	1	1	-22
Cory Joseph	SAC	SAC @ NYK	11/03/2019	W	11	6	2	5	0	1	2	2	3	1	0	0	5
Dewayne Dedmon	SAC	SAC @ NYK	11/03/2019	W	15	2	1	3	0	1	0	0	8	3	1	1	0
Justin James	SAC	SAC @ NYK	11/03/2019	W	2	0	0	0	0	0	0	2	1	1	1	0	-1
Caleb Swanigan	SAC	SAC @ NYK	11/03/2019	W	2	2	1	1	0	0	0	0	0	0	0	0	-1
De'Aaron Fox	SAC	SAC @ NYK	11/03/2019	W	35	24	8	18	1	3	7	10	2	6	1	1	17
Yogi Ferrell	SAC	SAC @ NYK	11/03/2019	W	2	0	0	0	0	0	0	0	0	0	0	0	-1
Buddy Hield	SAC	SAC @ NYK	11/03/2019	W	30	22	8	16	5	11	1	3	4	1	1	1	26
Richaun Holmes	SAC	SAC @ NYK	11/03/2019	W	30	14	6	8	0	0	2	2	10	3	0	1	21
Harrison Barnes	SAC	SAC @ NYK	11/03/2019	W	40	19	6	12	3	7	4	4	4	1	1	1	28
Ignas Brazdeikis	NYK	NYK vs. SAC	11/03/2019	L	4	4	1	2	0	1	2	2	0	1	0	0	-2
Damyean Dotson	NYK	NYK vs. SAC	11/03/2019	L	4	0	0	1	0	1	0	0	0	0	0	0	-2
Frank Ntilikina	NYK	NYK vs. SAC	11/03/2019	L	15	2	1	3	0	2	0	0	2	3	1	0	-11
Bobby Portis	NYK	NYK vs. SAC	11/03/2019	L	20	2	1	6	0	1	0	0	6	1	1	0	-23
Julius Randle	NYK	NYK vs. SAC	11/03/2019	L	27	8	4	13	0	3	0	0	7	2	0	0	-27
Bogdan Bogdanovic	SAC	SAC @ NYK	11/03/2019	W	19	6	2	8	2	7	0	0	3	3	1	0	-7
Rudy Gay	SAS	SAS vs. LAL	11/03/2019	L	27	16	6	13	3	7	1	2	10	3	0	0	6
Kentavious Caldwell-Pope	LAL	LAL @ SAS	11/03/2019	W	28	14	5	9	2	5	2	2	1	0	1	0	4
Marco Belinelli	SAS	SAS vs. LAL	11/03/2019	L	15	3	1	4	1	2	0	0	2	1	0	0	0
Dwight Howard	LAL	LAL @ SAS	11/03/2019	W	21	14	7	7	0	0	0	1	13	2	0	2	2
Alex Caruso	LAL	LAL @ SAS	11/03/2019	W	20	2	1	3	0	1	0	0	0	3	2	1	-13
LeBron James	LAL	LAL @ SAS	11/03/2019	W	37	21	8	23	0	6	5	10	11	13	2	1	15
Derrick White	SAS	SAS vs. LAL	11/03/2019	L	24	12	4	7	0	1	4	4	3	2	2	0	-4
Patty Mills	SAS	SAS vs. LAL	11/03/2019	L	20	4	1	6	0	4	2	2	1	2	1	0	0
Bryn Forbes	SAS	SAS vs. LAL	11/03/2019	L	27	12	4	13	1	8	3	3	3	3	3	0	-10
Jakob Poeltl	SAS	SAS vs. LAL	11/03/2019	L	19	1	0	0	0	0	1	2	2	0	1	1	5
Dejounte Murray	SAS	SAS vs. LAL	11/03/2019	L	24	18	7	12	1	1	3	5	11	4	2	1	-3
JaVale McGee	LAL	LAL @ SAS	11/03/2019	W	11	2	1	1	0	0	0	0	3	0	0	2	-1
Danny Green	LAL	LAL @ SAS	11/03/2019	W	23	3	1	4	1	3	0	0	1	0	1	0	10
Avery Bradley	LAL	LAL @ SAS	11/03/2019	W	27	16	7	9	1	1	1	1	3	1	1	0	8
Anthony Davis	LAL	LAL @ SAS	11/03/2019	W	36	25	10	20	1	2	4	4	11	2	0	4	7
Troy Daniels	LAL	LAL @ SAS	11/03/2019	W	15	1	0	2	0	1	1	1	0	0	1	0	-4
Quinn Cook	LAL	LAL @ SAS	11/03/2019	W	5	0	0	2	0	1	0	0	0	0	0	0	4
Kyle Kuzma	LAL	LAL @ SAS	11/03/2019	W	16	5	2	7	1	4	0	0	3	0	0	0	3
LaMarcus Aldridge	SAS	SAS vs. LAL	11/03/2019	L	30	8	2	9	0	1	4	4	5	2	1	1	-11
DeMar DeRozan	SAS	SAS vs. LAL	11/03/2019	L	34	14	5	15	0	0	4	5	7	5	0	1	-19
DeMarre Carroll	SAS	SAS vs. LAL	11/03/2019	L	5	4	1	1	0	0	2	2	1	1	0	0	4
Trey Lyles	SAS	SAS vs. LAL	11/03/2019	L	14	4	2	3	0	1	0	0	2	0	1	0	-3
Tyson Chandler	HOU	HOU @ MEM	11/04/2019	W	7	0	0	0	0	0	0	0	1	1	0	0	12
Jae Crowder	MEM	MEM vs. HOU	11/04/2019	L	29	8	2	8	1	4	3	4	5	2	3	0	3
Tyus Jones	MEM	MEM vs. HOU	11/04/2019	L	25	10	4	9	0	1	2	2	5	4	3	0	-15
Dillon Brooks	MEM	MEM vs. HOU	11/04/2019	L	32	17	7	18	0	7	3	4	9	1	2	0	8
James Harden	HOU	HOU @ MEM	11/04/2019	W	37	44	12	28	7	16	13	18	10	6	2	1	11
Kyle Anderson	MEM	MEM vs. HOU	11/04/2019	L	25	10	4	9	0	2	2	2	5	1	1	0	-10
Eric Gordon	HOU	HOU @ MEM	11/04/2019	W	32	16	5	17	3	9	3	5	5	1	1	0	-1
Marko Guduric	MEM	MEM vs. HOU	11/04/2019	L	17	4	2	6	0	2	0	0	1	0	1	0	-13
Thabo Sefolosha	HOU	HOU @ MEM	11/04/2019	W	7	3	1	2	1	1	0	0	4	2	0	1	6
Solomon Hill	MEM	MEM vs. HOU	11/04/2019	L	15	4	1	5	0	2	2	2	0	0	0	0	-20
Ben McLemore	HOU	HOU @ MEM	11/04/2019	W	30	12	3	11	3	10	3	4	0	3	1	0	12
Ja Morant	MEM	MEM vs. HOU	11/04/2019	L	28	23	10	16	1	2	2	4	5	6	1	0	12
Austin Rivers	HOU	HOU @ MEM	11/04/2019	W	24	7	3	9	1	4	0	0	3	1	0	0	3
Clint Capela	HOU	HOU @ MEM	11/04/2019	W	29	10	5	10	0	0	0	1	13	2	1	0	4
P.J. Tucker	HOU	HOU @ MEM	11/04/2019	W	34	0	0	1	0	1	0	0	6	3	0	0	-12
Jonas Valanciunas	MEM	MEM vs. HOU	11/04/2019	L	24	10	4	11	0	1	2	2	10	3	0	1	-2
Bruno Caboclo	MEM	MEM vs. HOU	11/04/2019	L	24	11	5	8	1	3	0	0	5	1	2	2	-5
Chris Clemons	HOU	HOU @ MEM	11/04/2019	W	3	0	0	0	0	0	0	0	0	0	0	0	-5
Danuel House Jr.	HOU	HOU @ MEM	11/04/2019	W	36	15	6	15	2	9	1	1	9	1	1	3	5
Brandon Clarke	MEM	MEM vs. HOU	11/04/2019	L	20	3	1	4	0	1	1	1	6	1	0	4	7
Christian Wood	DET	DET @ WAS	11/04/2019	L	21	15	5	6	2	2	3	4	4	1	0	2	2
Langston Galloway	DET	DET @ WAS	11/04/2019	L	22	10	4	8	2	4	0	0	0	1	0	1	1
Davis Bertans	WAS	WAS vs. DET	11/04/2019	W	22	9	3	7	3	6	0	0	1	0	1	1	7
Bruce Brown	DET	DET @ WAS	11/04/2019	L	37	14	5	12	1	3	3	5	7	7	2	3	-2
Thon Maker	DET	DET @ WAS	11/04/2019	L	8	0	0	0	0	0	0	0	0	0	0	1	-13
Moritz Wagner	WAS	WAS vs. DET	11/04/2019	W	22	12	4	7	0	1	4	4	4	0	2	3	21
Jordan Bone	DET	DET @ WAS	11/04/2019	L	2	0	0	1	0	0	0	0	0	0	0	0	0
Khyri Thomas	DET	DET @ WAS	11/04/2019	L	2	0	0	0	0	0	0	0	0	0	0	0	0
Luke Kennard	DET	DET @ WAS	11/04/2019	L	34	24	6	12	3	4	9	11	4	5	0	0	-28
Markieff Morris	DET	DET @ WAS	11/04/2019	L	14	4	2	4	0	1	0	0	2	0	0	0	-18
Admiral Schofield	WAS	WAS vs. DET	11/04/2019	W	2	0	0	0	0	0	0	0	1	0	0	0	0
Justin Robinson	WAS	WAS vs. DET	11/04/2019	W	2	0	0	1	0	0	0	0	0	0	0	0	0
Isaac Bonga	WAS	WAS vs. DET	11/04/2019	W	23	5	2	5	0	1	1	1	3	1	0	0	16
Rui Hachimura	WAS	WAS vs. DET	11/04/2019	W	16	12	5	7	1	2	1	1	4	3	1	0	-2
Thomas Bryant	WAS	WAS vs. DET	11/04/2019	W	27	14	6	10	1	2	1	2	7	1	0	1	-5
Bradley Beal	WAS	WAS vs. DET	11/04/2019	W	32	22	8	17	1	4	5	8	5	6	1	0	-2
Isaiah Thomas	WAS	WAS vs. DET	11/04/2019	W	24	9	4	12	1	5	0	0	2	6	1	1	-6
CJ Miles	WAS	WAS vs. DET	11/04/2019	W	19	12	3	8	1	5	5	5	2	1	0	1	16
Ish Smith	WAS	WAS vs. DET	11/04/2019	W	20	6	3	9	0	2	0	0	2	5	0	0	19
Tony Snell	DET	DET @ WAS	11/04/2019	L	34	11	4	14	3	9	0	0	1	0	0	0	-24
Troy Brown Jr.	WAS	WAS vs. DET	11/04/2019	W	31	14	5	10	0	1	4	4	10	4	3	0	16
Andre Drummond	DET	DET @ WAS	11/04/2019	L	39	15	6	20	0	1	3	3	24	4	2	2	-5
Svi Mykhailiuk	DET	DET @ WAS	11/04/2019	L	27	6	2	5	2	3	0	0	0	3	0	0	7
Jake Layman	MIN	MIN vs. MIL	11/04/2019	L	26	5	2	10	0	3	1	1	4	0	2	0	-21
Khris Middleton	MIL	MIL @ MIN	11/04/2019	W	27	26	9	15	4	7	4	4	3	4	2	0	18
Wesley Matthews	MIL	MIL @ MIN	11/04/2019	W	22	8	3	6	2	4	0	0	2	0	2	0	29
Jarrett Culver	MIN	MIN vs. MIL	11/04/2019	L	24	8	3	11	2	5	0	0	4	1	1	0	-7
Giannis Antetokounmpo	MIL	MIL @ MIN	11/04/2019	W	27	34	14	19	0	3	6	11	15	6	0	0	28
Andrew Wiggins	MIN	MIN vs. MIL	11/04/2019	L	31	25	10	21	4	7	1	2	3	0	0	2	-17
Ersan Ilyasova	MIL	MIL @ MIN	11/04/2019	W	16	5	2	6	1	4	0	0	4	0	1	1	-1
Gorgui Dieng	MIN	MIN vs. MIL	11/04/2019	L	17	10	3	9	0	3	4	4	6	4	0	1	-29
Shabazz Napier	MIN	MIN vs. MIL	11/04/2019	L	25	10	4	12	2	8	0	0	3	4	4	0	5
Kyle Korver	MIL	MIL @ MIN	11/04/2019	W	17	3	1	5	1	4	0	1	2	0	0	0	13
George Hill	MIL	MIL @ MIN	11/04/2019	W	17	7	2	4	1	1	2	2	1	1	0	0	7
Pat Connaughton	MIL	MIL @ MIN	11/04/2019	W	16	0	0	2	0	2	0	0	6	1	0	0	-5
Treveon Graham	MIN	MIN vs. MIL	11/04/2019	L	23	3	1	5	1	4	0	0	2	2	2	0	-27
Robert Covington	MIN	MIN vs. MIL	11/04/2019	L	23	15	5	9	3	6	2	2	4	2	1	0	-20
Donte DiVincenzo	MIL	MIL @ MIN	11/04/2019	W	20	17	6	11	3	4	2	4	7	1	1	1	12
Robin Lopez	MIL	MIL @ MIN	11/04/2019	W	19	1	0	2	0	1	1	2	3	2	0	1	6
Eric Bledsoe	MIL	MIL @ MIN	11/04/2019	W	24	22	8	14	1	4	5	6	9	6	1	0	13
Jeff Teague	MIN	MIN vs. MIL	11/04/2019	L	18	10	3	7	0	0	4	4	2	3	1	1	-25
D.J. Wilson	MIL	MIL @ MIN	11/04/2019	W	7	2	1	3	0	2	0	0	2	1	0	0	3
Josh Okogie	MIN	MIN vs. MIL	11/04/2019	L	22	3	1	6	0	2	1	3	7	0	1	0	0
Noah Vonleh	MIN	MIN vs. MIL	11/04/2019	L	16	5	1	7	1	4	2	2	6	1	0	0	3
Sterling Brown	MIL	MIL @ MIN	11/04/2019	W	4	0	0	0	0	0	0	0	1	0	0	0	-1
Jordan Bell	MIN	MIN vs. MIL	11/04/2019	L	15	12	4	6	0	1	4	4	6	3	0	0	-2
Brook Lopez	MIL	MIL @ MIN	11/04/2019	W	26	9	4	6	1	3	0	0	2	2	1	3	18
Rodions Kurucs	BKN	BKN vs. NOP	11/04/2019	W	7	0	0	1	0	0	0	0	2	0	1	0	2
Josh Hart	NOP	NOP @ BKN	11/04/2019	L	31	14	6	13	2	7	0	0	7	1	4	0	-1
Jrue Holiday	NOP	NOP @ BKN	11/04/2019	L	34	15	7	17	1	4	0	0	7	3	4	2	-19
Spencer Dinwiddie	BKN	BKN vs. NOP	11/04/2019	W	21	7	3	8	1	4	0	0	1	3	1	0	3
Taurean Prince	BKN	BKN vs. NOP	11/04/2019	W	38	12	4	12	2	9	2	2	11	4	4	0	11
Jaxson Hayes	NOP	NOP @ BKN	11/04/2019	L	16	3	0	3	0	1	3	3	5	1	2	0	12
DeAndre Jordan	BKN	BKN vs. NOP	11/04/2019	W	16	4	2	3	0	0	0	0	5	2	1	2	-5
Jarrett Allen	BKN	BKN vs. NOP	11/04/2019	W	30	18	7	8	0	0	4	7	10	1	1	0	12
Lonzo Ball	NOP	NOP @ BKN	11/04/2019	L	21	15	6	10	3	7	0	0	2	3	0	0	-16
Garrett Temple	BKN	BKN vs. NOP	11/04/2019	W	26	13	4	6	3	5	2	3	2	4	1	1	6
Jahlil Okafor	NOP	NOP @ BKN	11/04/2019	L	21	4	1	3	0	0	2	3	4	1	0	1	-14
Kenrich Williams	NOP	NOP @ BKN	11/04/2019	L	6	3	1	2	1	1	0	0	3	0	1	1	-7
Frank Jackson	NOP	NOP @ BKN	11/04/2019	L	25	12	4	9	1	2	3	3	0	2	2	0	4
Derrick Favors	NOP	NOP @ BKN	11/04/2019	L	8	0	0	1	0	0	0	2	4	1	0	0	-5
Kyrie Irving	BKN	BKN vs. NOP	11/04/2019	W	35	39	13	21	2	6	11	11	4	9	3	0	11
Brandon Ingram	NOP	NOP @ BKN	11/04/2019	L	37	40	17	24	1	3	5	5	5	5	2	0	-10
Nickeil Alexander-Walker	NOP	NOP @ BKN	11/04/2019	L	4	0	0	2	0	1	0	0	0	0	0	0	-1
JJ Redick	NOP	NOP @ BKN	11/04/2019	L	21	12	4	9	3	4	1	2	1	0	1	1	-1
Joe Harris	BKN	BKN vs. NOP	11/04/2019	W	33	19	7	14	4	9	1	2	3	4	1	0	-4
E'Twaun Moore	NOP	NOP @ BKN	11/04/2019	L	15	7	2	4	1	2	2	3	1	1	0	0	8
Caris LeVert	BKN	BKN vs. NOP	11/04/2019	W	35	23	9	19	4	8	1	3	7	5	0	0	14
James Ennis III	PHI	PHI @ PHX	11/04/2019	L	12	3	1	4	0	0	1	2	1	0	0	0	-3
Devin Booker	PHX	PHX vs. PHI	11/04/2019	W	32	40	15	19	3	4	7	7	4	3	0	1	3
Mikal Bridges	PHX	PHX vs. PHI	11/04/2019	W	25	6	2	3	0	0	2	2	3	1	2	0	2
Raul Neto	PHI	PHI @ PHX	11/04/2019	L	12	2	1	2	0	0	0	0	1	2	0	0	-3
Furkan Korkmaz	PHI	PHI @ PHX	11/04/2019	L	34	20	6	13	4	7	4	5	5	2	0	0	-1
Aron Baynes	PHX	PHX vs. PHI	11/04/2019	W	32	15	6	9	3	5	0	0	7	6	1	2	19
Al Horford	PHI	PHI @ PHX	11/04/2019	L	35	32	13	20	5	8	1	2	5	4	2	1	-1
Tobias Harris	PHI	PHI @ PHX	11/04/2019	L	37	24	10	20	1	6	3	5	10	2	2	0	-9
Jevon Carter	PHX	PHX vs. PHI	11/04/2019	W	10	0	0	2	0	2	0	0	2	0	2	0	-5
Cameron Johnson	PHX	PHX vs. PHI	11/04/2019	W	9	2	1	3	0	1	0	0	0	0	0	0	7
Josh Richardson	PHI	PHI @ PHX	11/04/2019	L	38	8	3	11	1	4	1	2	3	5	0	0	-1
Dario Saric	PHX	PHX vs. PHI	11/04/2019	W	25	5	2	6	1	3	0	0	6	1	1	0	-5
Kelly Oubre Jr.	PHX	PHX vs. PHI	11/04/2019	W	32	14	5	9	1	2	3	6	6	1	0	1	0
Mike Scott	PHI	PHI @ PHX	11/04/2019	L	18	7	3	5	1	2	0	0	3	0	0	0	2
Matisse Thybulle	PHI	PHI @ PHX	11/04/2019	L	5	2	1	3	0	1	0	2	0	0	0	0	-3
Tyler Johnson	PHX	PHX vs. PHI	11/04/2019	W	20	8	4	7	0	3	0	0	1	0	0	0	0
Frank Kaminsky	PHX	PHX vs. PHI	11/04/2019	W	20	3	0	5	0	3	3	6	4	2	0	1	-8
Ben Simmons	PHI	PHI @ PHX	11/04/2019	L	36	6	2	8	0	0	2	2	5	6	7	0	-2
Kyle O'Quinn	PHI	PHI @ PHX	11/04/2019	L	13	5	2	3	1	1	0	0	5	0	0	1	-4
Ricky Rubio	PHX	PHX vs. PHI	11/04/2019	W	34	21	6	14	3	5	6	6	7	10	0	0	12
Damion Lee	GSW	GSW vs. POR	11/04/2019	W	29	18	4	8	0	1	10	11	4	3	2	0	2
CJ McCollum	POR	POR @ GSW	11/04/2019	L	34	14	6	16	2	6	0	0	1	6	0	0	-8
Eric Paschall	GSW	GSW vs. POR	11/04/2019	W	40	34	11	19	4	6	8	8	13	0	0	1	11
Kent Bazemore	POR	POR @ GSW	11/04/2019	L	22	7	3	10	1	6	0	0	6	1	1	0	-11
Mario Hezonja	POR	POR @ GSW	11/04/2019	L	26	11	4	6	3	5	0	0	5	0	1	0	5
Ky Bowman	GSW	GSW vs. POR	11/04/2019	W	37	19	9	14	1	3	0	0	4	8	0	0	9
Glenn Robinson III	GSW	GSW vs. POR	11/04/2019	W	31	5	2	5	0	0	1	2	6	3	0	0	1
Jordan Poole	GSW	GSW vs. POR	11/04/2019	W	31	16	3	16	2	9	8	8	3	5	0	1	8
Damian Lillard	POR	POR @ GSW	11/04/2019	L	37	39	15	26	5	13	4	4	2	4	0	1	-10
Anfernee Simons	POR	POR @ GSW	11/04/2019	L	19	14	5	10	1	3	3	3	2	1	2	0	7
Skal Labissiere	POR	POR @ GSW	11/04/2019	L	15	4	2	8	0	1	0	0	5	1	0	2	3
Omari Spellman	GSW	GSW vs. POR	11/04/2019	W	15	7	3	4	1	1	0	0	6	2	0	1	-4
Gary Trent Jr.	POR	POR @ GSW	11/04/2019	L	5	0	0	2	0	1	0	0	1	1	1	0	-2
Alec Burks	GSW	GSW vs. POR	11/04/2019	W	28	13	4	12	1	4	4	5	4	2	0	0	6
Marquese Chriss	GSW	GSW vs. POR	11/04/2019	W	14	5	2	3	1	2	0	0	4	3	0	1	5
Hassan Whiteside	POR	POR @ GSW	11/04/2019	L	28	22	10	14	0	0	2	5	11	0	0	2	-15
Anthony Tolliver	POR	POR @ GSW	11/04/2019	L	17	3	1	5	1	4	0	0	5	1	0	1	-7
Willie Cauley-Stein	GSW	GSW vs. POR	11/04/2019	W	16	10	4	5	0	0	2	2	3	2	2	0	7
Rodney Hood	POR	POR @ GSW	11/04/2019	L	36	4	1	8	0	1	2	2	6	1	0	0	-7
Hamidou Diallo	OKC	OKC vs. ORL	11/05/2019	W	22	6	2	5	0	1	2	2	6	1	2	2	-4
Terrence Ross	ORL	ORL @ OKC	11/05/2019	L	23	6	2	5	0	1	2	2	3	2	0	1	4
Evan Fournier	ORL	ORL @ OKC	11/05/2019	L	33	4	0	7	0	2	4	4	5	1	2	0	-13
D.J. Augustin	ORL	ORL @ OKC	11/05/2019	L	27	13	3	10	0	4	7	8	1	2	0	0	8
Mo Bamba	ORL	ORL @ OKC	11/05/2019	L	14	7	3	8	1	3	0	2	7	0	0	2	8
Darius Bazley	OKC	OKC vs. ORL	11/05/2019	W	24	10	4	11	2	5	0	0	6	1	2	0	0
Jonathan Isaac	ORL	ORL @ OKC	11/05/2019	L	31	13	5	9	1	4	2	2	10	0	0	3	-14
Al-Farouq Aminu	ORL	ORL @ OKC	11/05/2019	L	26	13	4	5	0	0	5	5	5	1	2	0	1
Dennis Schroder	OKC	OKC vs. ORL	11/05/2019	W	31	5	2	11	1	3	0	0	1	3	0	0	-1
Terrance Ferguson	OKC	OKC vs. ORL	11/05/2019	W	23	5	2	3	1	2	0	0	0	1	0	0	10
Danilo Gallinari	OKC	OKC vs. ORL	11/05/2019	W	26	16	6	17	3	10	1	2	4	2	1	0	4
Aaron Gordon	ORL	ORL @ OKC	11/05/2019	L	29	15	6	13	0	3	3	4	7	3	0	0	-4
Nikola Vucevic	ORL	ORL @ OKC	11/05/2019	L	34	10	4	15	0	3	2	2	12	2	0	2	-16
Markelle Fultz	ORL	ORL @ OKC	11/05/2019	L	24	13	5	10	1	2	2	2	3	4	1	0	-14
Chris Paul	OKC	OKC vs. ORL	11/05/2019	W	32	20	6	15	2	6	6	6	2	6	3	0	5
Nerlens Noel	OKC	OKC vs. ORL	11/05/2019	W	16	5	1	2	0	0	3	4	5	2	0	1	2
Mike Muscala	OKC	OKC vs. ORL	11/05/2019	W	4	0	0	1	0	1	0	0	0	0	0	0	0
Steven Adams	OKC	OKC vs. ORL	11/05/2019	W	26	11	5	7	0	0	1	2	11	3	0	1	10
Shai Gilgeous-Alexander	OKC	OKC vs. ORL	11/05/2019	W	36	24	9	14	3	5	3	4	3	2	1	1	14
Justin Holiday	IND	IND @ CHA	11/05/2019	L	24	5	2	6	1	2	0	0	2	3	0	0	-13
Doug McDermott	IND	IND @ CHA	11/05/2019	L	19	8	3	7	2	4	0	0	2	1	0	0	-18
JaKarr Sampson	IND	IND @ CHA	11/05/2019	L	20	7	3	5	1	2	0	0	4	1	0	1	3
T.J. McConnell	IND	IND @ CHA	11/05/2019	L	14	6	3	5	0	0	0	0	3	0	0	0	-2
Aaron Holiday	IND	IND @ CHA	11/05/2019	L	23	6	2	7	2	4	0	0	4	4	0	1	-8
Marvin Williams	CHA	CHA vs. IND	11/05/2019	W	17	5	2	4	1	3	0	0	2	1	0	1	-2
Cody Zeller	CHA	CHA vs. IND	11/05/2019	W	17	7	1	5	0	2	5	6	1	1	0	0	-24
Malik Monk	CHA	CHA vs. IND	11/05/2019	W	15	4	2	8	0	4	0	1	2	3	0	1	-12
Dwayne Bacon	CHA	CHA vs. IND	11/05/2019	W	13	0	0	3	0	0	0	0	0	0	0	0	-14
P.J. Washington	CHA	CHA vs. IND	11/05/2019	W	24	16	6	9	0	2	4	4	3	3	1	0	-16
Bismack Biyombo	CHA	CHA vs. IND	11/05/2019	W	17	15	6	7	0	0	3	8	6	0	1	2	16
Jeremy Lamb	IND	IND @ CHA	11/05/2019	L	38	18	8	19	2	5	0	0	5	2	2	0	7
T.J. Warren	IND	IND @ CHA	11/05/2019	L	41	33	15	18	2	2	1	2	4	3	2	1	13
Terry Rozier	CHA	CHA vs. IND	11/05/2019	W	43	22	7	19	3	8	5	5	5	4	1	0	7
Malcolm Brogdon	IND	IND @ CHA	11/05/2019	L	39	31	12	19	2	9	5	5	5	8	0	0	0
Miles Bridges	CHA	CHA vs. IND	11/05/2019	W	43	18	8	10	2	3	0	3	3	1	0	0	14
Cody Martin	CHA	CHA vs. IND	11/05/2019	W	33	0	0	2	0	0	0	0	11	3	1	0	27
Goga Bitadze	IND	IND @ CHA	11/05/2019	L	32	6	3	7	0	2	0	0	11	4	0	4	15
Devonte' Graham	CHA	CHA vs. IND	11/05/2019	W	42	35	10	21	4	9	11	15	4	6	3	0	14
TJ Leaf	IND	IND @ CHA	11/05/2019	L	14	0	0	1	0	0	0	0	3	1	1	0	-7
